time,errs,avgt,avgl,p50l,p95l,p99l,maxl,type
2023-04-25T05:21:19.518800767Z,0,1823.3,1838.4,5.5,6.8,8.4,10.5,write
2023-04-25T05:21:20.519127122Z,0,1851.4,1844.9,5.5,6.8,7.6,9.4,write
2023-04-25T05:21:21.518504475Z,0,1851.2,1847.0,5.5,6.8,9.4,13.1,write
2023-04-25T05:21:22.519479905Z,0,1936.1,1869.3,5.2,6.8,7.6,8.1,write
2023-04-25T05:21:23.518648728Z,0,1881.6,1871.7,5.2,6.8,7.1,8.9,write
2023-04-25T05:21:24.519540622Z,0,1749.4,1851.3,5.5,7.3,12.1,25.2,write
2023-04-25T05:21:25.518691093Z,0,1826.6,1847.8,5.2,7.3,10.5,12.6,write
2023-04-25T05:21:26.519468914Z,0,1866.5,1850.1,5.5,6.8,7.9,8.9,write
2023-04-25T05:21:27.51864302Z,0,1859.5,1851.2,5.5,6.8,8.1,14.2,write
2023-04-25T05:21:28.518921072Z,0,1844.5,1850.5,5.5,7.1,7.9,9.4,write
2023-04-25T05:21:29.518847765Z,0,1893.1,1854.4,5.2,7.3,14.2,21.0,write
2023-04-25T05:21:30.518893272Z,0,1936.9,1861.3,5.2,6.8,7.9,11.5,write
2023-04-25T05:21:31.51885964Z,0,1973.1,1869.9,5.2,6.8,8.1,9.4,write
2023-04-25T05:21:32.518641512Z,0,1874.4,1870.2,5.5,6.6,7.3,8.4,write
2023-04-25T05:21:33.518890065Z,0,1839.5,1868.1,5.5,7.1,8.9,10.5,write
2023-04-25T05:21:34.518516309Z,0,1841.7,1866.5,5.5,7.1,8.1,10.5,write
2023-04-25T05:21:35.518802735Z,0,1809.5,1863.1,5.5,7.6,10.5,18.9,write
2023-04-25T05:21:36.519294052Z,0,1861.1,1863.0,5.5,7.1,7.9,9.4,write
2023-04-25T05:21:37.518596599Z,0,1738.2,1856.5,5.5,8.9,13.1,18.9,write
2023-04-25T05:21:38.519386068Z,0,1688.7,1848.1,5.5,8.9,15.2,26.2,write
2023-04-25T05:21:39.518679843Z,0,1865.3,1848.9,5.5,6.8,8.9,9.4,write
2023-04-25T05:21:40.519548741Z,0,1841.4,1848.5,5.5,7.1,7.9,9.4,write
2023-04-25T05:21:41.51891666Z,0,1778.1,1845.5,5.5,7.3,8.9,10.0,write
2023-04-25T05:21:42.518845877Z,0,1902.1,1847.8,5.2,6.8,7.9,9.4,write
2023-04-25T05:21:43.519328917Z,0,1917.1,1850.6,5.2,6.3,7.1,8.9,write
2023-04-25T05:21:44.518713425Z,0,1838.1,1850.1,5.2,7.1,10.0,12.6,write
2023-04-25T05:21:45.51914833Z,0,1689.3,1844.2,5.5,8.1,23.1,29.4,write
2023-04-25T05:21:46.518867205Z,0,1894.5,1846.0,5.5,6.8,7.6,10.0,write
2023-04-25T05:21:47.518928501Z,0,1876.9,1847.0,5.5,7.1,7.6,8.9,write
2023-04-25T05:21:48.519509103Z,0,1811.9,1845.9,5.5,7.6,8.4,9.4,write
2023-04-25T05:21:49.519269508Z,0,1830.4,1845.4,5.5,7.1,8.9,13.6,write
2023-04-25T05:21:50.519334344Z,0,1839.9,1845.2,5.5,6.8,7.9,11.5,write
2023-04-25T05:21:51.518717691Z,0,1861.1,1845.7,5.5,6.8,7.9,10.5,write
