time,errs,avgt,avgl,p50l,p95l,p99l,maxl,type
2023-04-25T05:10:24.823479655Z,0,9658.7,9745.3,1.0,1.9,3.3,8.9,read
2023-04-25T05:10:25.823375522Z,0,9915.0,9830.1,1.0,1.9,2.9,7.6,read
2023-04-25T05:10:26.823436933Z,0,10069.4,9909.9,1.0,1.8,3.0,10.5,read
2023-04-25T05:10:27.823374287Z,0,9862.6,9898.1,1.0,1.8,2.6,4.7,read
2023-04-25T05:10:28.823584073Z,0,9887.9,9896.1,1.0,1.8,2.6,6.0,read
2023-04-25T05:10:29.823380481Z,0,9854.0,9889.0,1.0,1.8,3.1,6.8,read
2023-04-25T05:10:30.823503595Z,0,9989.8,9903.4,1.0,1.8,2.6,6.8,read
2023-04-25T05:10:31.823740882Z,0,10569.5,9986.7,1.0,1.6,2.0,9.4,read
2023-04-25T05:10:32.823701697Z,0,10062.4,9995.1,1.0,1.8,2.8,5.0,read
2023-04-25T05:10:33.823365257Z,0,10304.5,10026.0,1.0,1.7,2.5,6.3,read
2023-04-25T05:10:34.823373157Z,0,9802.9,10005.8,1.0,1.9,3.0,6.8,read
2023-04-25T05:10:35.823535934Z,0,9439.5,9958.6,1.0,2.0,3.7,8.9,read
2023-04-25T05:10:36.823346454Z,0,10103.9,9969.7,1.0,1.8,2.5,6.6,read
2023-04-25T05:10:37.823460174Z,0,9764.9,9955.1,1.0,1.8,2.5,5.5,read
2023-04-25T05:10:38.823443838Z,0,10035.2,9960.4,1.0,1.7,2.8,5.0,read
2023-04-25T05:10:39.823396065Z,0,10149.5,9972.3,1.0,1.8,2.9,5.8,read
2023-04-25T05:10:40.823367128Z,0,10249.3,9988.5,1.0,1.7,2.5,4.5,read
2023-04-25T05:10:41.823523677Z,0,10077.4,9993.5,1.0,1.8,2.6,5.8,read
2023-04-25T05:10:42.823342064Z,0,10028.8,9995.3,1.0,1.8,2.8,6.6,read
2023-04-25T05:10:43.823480281Z,0,10422.6,10016.7,1.0,1.6,2.2,6.0,read
2023-04-25T05:10:44.823539443Z,0,9177.5,9976.8,1.0,2.0,3.1,44.0,read
2023-04-25T05:10:45.823536071Z,0,9155.0,9939.4,1.0,2.1,5.5,41.9,read
2023-04-25T05:10:46.823431519Z,0,10462.1,9962.1,1.0,1.8,2.8,5.0,read
2023-04-25T05:10:47.823351609Z,0,10345.8,9978.1,1.0,1.7,2.4,5.0,read
2023-04-25T05:10:48.823437171Z,0,10253.1,9989.1,1.0,1.7,2.6,5.5,read
2023-04-25T05:10:49.823395903Z,0,10585.4,10012.0,1.0,1.7,2.6,5.2,read
2023-04-25T05:10:50.823384128Z,0,10527.1,10031.1,1.0,1.6,2.5,6.0,read
2023-04-25T05:10:51.823476612Z,0,10625.0,10052.3,1.0,1.6,2.5,5.8,read
2023-04-25T05:10:52.823393397Z,0,10592.9,10071.0,1.0,1.7,2.5,5.5,read
