t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682381664,3989,31.472036,1.119919,9.642848,12.877476,3940.0736,read,10k,5,m
1682381665,7768,23.775948,0.936245,10.27692,13.241412,3867.231502,read,10k,5,m
1682381669,3882,29.199158,1.170193,8.711842,14.730074,3833.698633,read,10k,5,m
1682381670,7986,25.773522,0.85546,8.747574,15.262243,3975.349538,read,10k,5,m
1682381674,4029,27.022277,1.173097,9.844872,12.947949,3978.264559,read,10k,5,m
1682381675,7688,21.605203,0.881459,10.020208,14.924238,3827.374808,read,10k,5,m
1682381678,4030,22.053493,1.142255,8.652286,14.86608,3976.126096,read,10k,5,m
1682381679,8083,23.471153,0.903307,9.489906,12.883912,4023.632092,read,10k,5,m
1682381683,4006,41.244599,1.141655,9.881276,13.299278,3955.215129,read,10k,5,m
1682381684,7566,20.990669,0.921258,10.918255,15.669525,3766.431145,read,10k,5,m
1682381687,4137,21.59316,1.199084,8.072674,14.125405,4084.858888,read,10k,5,m
1682381688,8247,19.485355,0.841498,9.669974,13.561399,4107.09671,read,10k,5,m
1682381692,3885,34.377193,1.136187,9.697001,14.274189,3837.729784,read,10k,5,m
1682381693,7852,21.116744,0.872643,9.345894,14.499062,3908.690234,read,10k,5,m
1682381696,3683,38.854729,1.281493,8.509729,13.539368,3638.912418,read,10k,5,m
1682381697,8134,20.345999,0.927608,8.459806,11.46578,4048.893288,read,10k,5,m
1682381700,3583,55.940665,1.252364,10.659561,13.303008,3531.984914,read,10k,5,m
1682381701,7558,21.570074,0.916492,9.879422,12.94695,3763.377394,read,10k,5,m
1682381714,4170,44.15444,1.125955,9.248135,13.399875,4117.395346,read,10k,5,m
1682381715,8029,20.65146,0.861316,10.193276,14.128352,3997.170229,read,10k,5,m
