t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682346836,3376,32.040844,1.23278,10.960602,16.208181,3334.653353,read,10k,1,m
1682346837,6535,21.641383,1.0035,11.189916,14.689357,3253.845645,read,10k,1,m
1682346841,3832,46.186153,1.221534,9.673706,15.678138,3782.418933,read,10k,1,m
1682346842,7712,22.103042,1.024679,9.711349,12.18983,3788.192811,read,10k,1,m
1682346847,3910,29.512499,1.190134,9.332763,13.398956,3832.057848,read,10k,1,m
1682346848,7683,24.055362,1.039565,9.576981,12.992906,3821.744591,read,10k,1,m
1682346852,2993,60.039218,1.880611,9.260612,16.508579,2871.501174,read,10k,1,m
1682346853,6722,24.118369,1.125687,8.429479,12.415204,3339.309286,read,10k,1,m
1682346857,3625,37.060424,1.299929,8.746279,13.336992,3580.449024,read,10k,1,m
1682346858,7107,23.956416,0.952,9.742163,14.486074,3535.914124,read,10k,1,m
1682346862,4070,34.543151,1.138045,8.38522,12.715024,4018.233162,read,10k,1,m
1682346863,7721,21.547786,1.026575,9.121259,13.052296,3844.655987,read,10k,1,m
1682346877,3648,23.474198,1.259931,10.604879,13.640373,3604.357007,read,10k,1,m
1682346878,7424,24.01813,1.001615,9.99931,12.666129,3696.71345,read,10k,1,m
1682346882,3447,28.395222,1.353388,10.061992,14.467618,3403.329849,read,10k,1,m
1682346883,7333,25.718323,1.18789,9.588548,13.321505,3648.329774,read,10k,1,m
1682346888,3877,36.604127,1.154031,10.050881,13.793602,3793.632913,read,10k,1,m
1682346889,7574,24.366572,0.871802,9.436,15.208418,3770.475667,read,10k,1,m
1682346902,4063,26.914412,1.284658,8.478,13.992102,4009.188658,read,10k,1,m
1682346903,8132,17.118616,1.10333,8.655402,12.093722,4047.478403,read,10k,1,m
