t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682364623,4292,37.169319,1.112217,8.730183,12.464762,4238.172509,read,10k,3,m
1682364624,8038,23.57722,0.827459,10.249925,14.967041,4001.331959,read,10k,3,m
1682364628,3429,27.794323,1.20619,10.987214,15.541399,3388.129097,read,10k,3,m
1682364629,7008,20.424563,0.903646,10.429164,15.911703,3490.195592,read,10k,3,m
1682364632,3870,26.343306,1.171507,9.635827,13.149461,3823.862494,read,10k,3,m
1682364633,7188,19.624717,0.928223,10.460596,15.569568,3579.03574,read,10k,3,m
1682364637,4048,34.839458,1.106213,9.710114,16.738145,3999.847428,read,10k,3,m
1682364638,7924,20.429446,0.870243,9.863328,14.194215,3947.156412,read,10k,3,m
1682364641,3559,27.72458,1.207592,11.407111,15.63608,3516.064295,read,10k,3,m
1682364642,7538,19.575592,0.902677,9.447178,12.672676,3753.322098,read,10k,3,m
1682364645,3505,33.274962,1.302172,9.334413,12.594403,3468.162275,read,10k,3,m
1682364646,7587,18.247535,0.93125,9.239375,15.049114,3779.397633,read,10k,3,m
1682364649,3842,25.933935,1.210612,9.966243,14.406182,3760.030186,read,10k,3,m
1682364650,7401,19.315399,0.964162,10.593179,13.570333,3684.465635,read,10k,3,m
1682364654,3677,24.860165,1.356934,9.42154,15.239984,3594.949881,read,10k,3,m
1682364655,7425,23.169768,0.894525,10.873357,13.85674,3696.531437,read,10k,3,m
1682364658,3713,31.262461,1.11782,10.679922,15.298865,3667.717693,read,10k,3,m
1682364659,7735,22.878106,0.871293,9.023687,15.346664,3850.412861,read,10k,3,m
1682364662,3780,51.797662,1.336269,9.624712,13.240109,3713.750238,read,10k,3,m
1682364663,7846,20.110963,0.959644,9.212989,12.292637,3905.491257,read,10k,3,m
