t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682381299,3616,27.25126,1.278433,10.56159,15.382123,3558.997705,write,10k,5,m
1682381300,7805,20.051546,0.98432,9.342753,13.686832,3886.373874,write,10k,5,m
1682381306,4260,22.814242,1.309326,8.613284,12.558056,4200.378317,write,10k,5,m
1682381307,8141,25.554082,0.904177,10.174408,16.34584,4052.287519,write,10k,5,m
1682381313,3173,56.249614,1.431052,10.055755,16.772928,3141.091048,write,10k,5,m
1682381314,7244,22.551459,0.974578,9.973636,13.682428,3606.283529,write,10k,5,m
1682381319,3659,44.296969,1.309546,8.968833,13.84124,3615.285988,write,10k,5,m
1682381320,7992,22.820729,0.976459,8.790194,12.800215,3977.494813,write,10k,5,m
1682381340,3908,39.307914,1.295145,9.637112,15.290371,3855.281423,write,10k,5,m
1682381341,7383,22.306002,0.919049,11.2667,15.51098,3675.535589,write,10k,5,m
1682381350,3943,34.936329,1.17769,10.20477,14.504854,3885.947961,write,10k,5,m
1682381351,8003,24.958219,0.968711,10.282132,14.145981,3985.478678,write,10k,5,m
1682381405,3712,33.389682,1.265317,9.692285,13.203946,3638.5368,write,10k,5,m
1682381406,7525,21.653358,0.957302,9.959717,13.771759,3746.524443,write,10k,5,m
1682381411,3908,60.279293,1.298938,9.728388,13.529696,3858.716713,write,10k,5,m
1682381412,7838,20.104544,0.921771,9.783717,14.071475,3901.705946,write,10k,5,m
1682381416,3853,44.82983,1.269245,8.883558,17.09193,3801.118677,write,10k,5,m
1682381417,6938,23.223524,0.975508,12.198608,18.308306,3454.347097,write,10k,5,m
1682381525,3760,35.418384,1.479068,8.604754,12.559477,3647.883632,write,10k,5,m
1682381526,7615,27.480395,0.961852,10.06237,15.432555,3790.303899,write,10k,5,m
