t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682346425,3481,40.399149,1.238067,10.991089,15.238983,3443.608324,write,10k,1,m
1682346426,7044,24.00314,1.37568,9.581298,15.194759,3494.322918,write,10k,1,m
1682346431,2660,55.962673,2.058523,10.366139,16.33918,2594.356879,write,10k,1,m
1682346432,6031,20.187869,0.909089,11.534151,17.212494,3002.306426,write,10k,1,m
1682346433,9519,20.212688,1.365781,9.030615,15.947869,3162.712835,write,10k,1,m
1682346436,3442,31.138446,1.17582,10.870571,16.727466,3401.748495,write,10k,1,m
1682346437,6853,23.552476,0.850192,11.318081,15.993012,3412.078641,write,10k,1,m
1682346442,3141,35.920963,1.278171,11.291346,15.919476,3104.895453,write,10k,1,m
1682346443,6576,36.04078,0.895041,11.261811,16.149124,3273.588255,write,10k,1,m
1682346454,2563,46.943997,2.396421,10.156926,17.783894,2532.861126,write,10k,1,m
1682346455,6459,18.664853,1.019446,9.475857,12.342497,3214.070181,write,10k,1,m
1682346462,1927,52.271788,3.281293,12.953973,24.610189,1904.368207,write,10k,1,m
1682346463,5393,19.903143,1.677896,9.319035,13.404193,2680.787963,write,10k,1,m
1682346464,9574,19.976372,1.002898,8.539872,12.785363,3180.726857,write,10k,1,m
1682346497,3531,38.511813,1.236065,9.8309,14.500812,3491.962922,write,10k,1,m
1682346498,7184,25.614583,0.873659,9.426521,15.565357,3576.936583,write,10k,1,m
1682346502,3639,23.520836,1.139615,9.500326,15.62807,3594.483874,write,10k,1,m
1682346503,7803,22.953091,0.93489,9.240928,15.052505,3883.328288,write,10k,1,m
1682346507,3604,35.648029,1.280397,10.312127,16.857254,3560.475772,write,10k,1,m
1682346508,7587,21.379165,0.987322,9.198875,13.322676,3776.778222,write,10k,1,m
1682346511,3079,30.430399,1.30743,11.31403,16.567816,3044.549817,write,10k,1,m
1682346512,6684,19.551765,0.940322,10.142936,15.526822,3328.634724,write,10k,1,m
