t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682359104,3333,91.0867,1.276105,10.698487,16.608045,3244.373374,write,100k,3,m
1682359105,7703,22.232104,0.999119,8.914522,12.462977,3834.898533,write,100k,3,m
1682359106,11757,28.086298,1.043054,8.963467,12.829734,3905.499736,write,100k,3,m
1682359107,15378,21.114,0.851449,9.840203,15.108495,3814.654131,write,100k,3,m
1682359108,18535,23.564365,0.936826,11.249165,17.727601,3700.358927,write,100k,3,m
1682359109,22002,23.610854,0.849179,11.105897,16.651289,3661.769773,write,100k,3,m
1682359110,25700,21.618939,0.977118,9.978053,14.274365,3666.563302,write,100k,3,m
1682359111,28816,20.330084,0.910133,11.940577,16.156896,3598.054777,write,100k,3,m
1682359112,31825,22.570643,0.963073,11.864204,14.995459,3532.831626,write,100k,3,m
1682359113,35214,19.714896,0.933597,10.820887,15.883532,3518.529813,write,100k,3,m
1682359114,38885,21.827143,0.936541,9.008514,15.253089,3532.096221,write,100k,3,m
1682359115,42839,20.136137,0.880586,9.045282,13.840555,3567.182362,write,100k,3,m
1682359116,46454,24.306553,0.807673,11.327312,15.49218,3570.472103,write,100k,3,m
1682359117,49844,21.396563,0.876498,10.326642,16.031147,3558.143325,write,100k,3,m
1682359118,53470,26.765792,0.804372,11.149165,15.515,3562.761265,write,100k,3,m
1682359119,56828,22.398591,0.875182,10.911995,15.617464,3549.766898,write,100k,3,m
1682359120,60210,20.03557,0.785241,11.433452,16.100342,3540.038223,write,100k,3,m
1682359121,63795,20.090674,0.842608,10.437096,15.968451,3542.516554,write,100k,3,m
1682359122,67168,20.537781,0.963127,10.617854,15.867623,3533.667086,write,100k,3,m
1682359123,70334,22.155342,0.967193,11.360433,19.468131,3515.299653,write,100k,3,m
1682359124,73808,22.560103,0.859716,10.714399,15.926405,3513.308639,write,100k,3,m
1682359125,77860,20.232052,0.98715,8.638359,13.283342,3537.831632,write,100k,3,m
1682359126,81439,20.020209,1.146023,9.92369,14.17548,3539.617616,write,100k,3,m
1682359127,85470,33.241615,0.971044,9.173115,12.87386,3559.934489,write,100k,3,m
1682359128,88581,24.043982,0.903031,11.185917,17.27676,3542.179944,write,100k,3,m
1682359129,91727,23.35659,0.849589,11.340539,16.08912,3526.892917,write,100k,3,m
1682359130,95311,23.581674,0.837776,10.075422,14.685173,3529.01083,write,100k,3,m
1682359131,98707,22.577696,0.921333,10.720091,16.009663,3524.277313,write,100k,3,m
1682359193,3255,29.424089,1.270317,11.485256,15.808466,3217.466748,write,100k,3,m
1682359194,7035,19.852713,0.934675,10.558259,15.271936,3502.040815,write,100k,3,m
1682359195,11275,19.078416,0.941294,8.74345,12.562099,3746.302618,write,100k,3,m
1682359196,14393,21.754165,0.825271,11.490197,15.638143,3590.216308,write,100k,3,m
1682359197,17561,23.346336,0.791039,11.933089,18.37178,3506.38681,write,100k,3,m
1682359198,20854,20.060373,0.759823,11.567828,15.610505,3470.572295,write,100k,3,m
1682359199,24211,23.607715,0.779021,11.307665,15.556334,3454.7371,write,100k,3,m
1682359200,27399,21.599705,0.804762,11.121601,15.509228,3421.321462,write,100k,3,m
1682359201,30645,23.494758,0.836989,11.404105,16.07639,3401.87771,write,100k,3,m
1682359202,33719,22.431127,0.869079,11.945585,16.239404,3369.093754,write,100k,3,m
1682359203,37414,20.863649,0.897407,11.070462,14.080795,3398.808529,write,100k,3,m
1682359204,41344,22.970497,0.908146,9.723253,12.619275,3442.33573,write,100k,3,m
1682359205,45128,23.983779,0.890458,9.720522,15.344813,3469.107033,write,100k,3,m
1682359206,48281,23.544038,1.001334,10.683599,15.9405,3446.776506,write,100k,3,m
1682359207,51244,22.780167,1.003636,11.961463,15.257169,3414.492349,write,100k,3,m
1682359208,54866,23.458528,0.931476,11.00641,15.596495,3427.060346,write,100k,3,m
1682359209,58293,23.646646,0.911245,11.15757,14.790979,3427.344831,write,100k,3,m
1682359210,61755,23.620643,0.90517,10.983342,16.018742,3429.398813,write,100k,3,m
1682359211,65311,19.933338,0.870868,9.924252,15.780804,3435.690061,write,100k,3,m
1682359212,68769,19.962743,0.846602,10.294221,15.633656,3437.148322,write,100k,3,m
1682359213,71970,21.621071,0.811459,11.298017,15.929626,3425.887448,write,100k,3,m
1682359214,75806,21.442376,0.797081,10.039346,15.445211,3444.553541,write,100k,3,m
1682359215,79446,19.873639,0.835594,10.334483,15.971174,3453.083103,write,100k,3,m
1682359216,82832,21.409642,0.811723,10.564158,15.713117,3450.241621,write,100k,3,m
1682359217,86219,24.00933,0.812822,11.365825,15.715828,3447.755151,write,100k,3,m
1682359218,90192,22.123728,0.823871,9.83292,14.646867,3467.898588,write,100k,3,m
1682359219,93536,24.004161,0.887894,11.146603,16.054644,3463.327521,write,100k,3,m
1682359220,96921,24.071801,0.830253,11.129288,17.059539,3460.53727,write,100k,3,m
1682359227,3110,43.35152,1.451103,9.798594,15.841712,3073.288855,write,100k,3,m
